video_id,video_title,video_category,comment_text,author_display_name,author_channel_id,published_at,like_count,reply_count,comment_length_char,kata_indikasi_judol_ditemukan,jumlah_kata_indikasi_judol,sentiment_score,sentiment_label,is_judol_comment
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,BeRuntungnya koh Erick dapet istri kayak gtu,@DiandraBukanwibu,UCvmtDtf5xziPdxMcaBU1KXg,2025-04-03T09:47:13Z,0,0,44,,0,0,Neutral,0
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,loh channel Erick yg subsnya banyak udah ga ada kah? serius nanya,@moveid,UCWifeTdV85sdkeczXl0KZgw,2025-03-08T19:58:56Z,0,0,65,,0,0,Neutral,0
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,Anj Erik beruntung bgt dpt dia yg ngertiin bgts,@ediprayogi1906,UC68PLdxtBtrYmyfyF84PxWg,2025-02-24T11:34:43Z,0,0,47,,0,0,Neutral,0
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,"Rikk.. Rik.. Gua udah ngikutin lu dari SMP, ngelewatin SMA, sampe tahun lalu gua lulus kuliah, dan sekarang udah kerja. Gua inget banget dulu lu itu caster LoL Indo dan gua sering nontonin lu ngecast bareng si shunpo gendut. Gua juga beberapa kali ketemu lu di rank LoL. Lu bilang lu suka tidur di office Garena sampe bikin parodi pinkguy. Banyak temen-temen gua yang anggap gua aneh karena gua suka nontonin lu dulu. Tapi gua selalu percaya kalo lu adalah orang baik",@AbdulRahman-pc9sm,UCdUkU7LEWqUwkMi9RSAE1Aw,2025-02-19T13:33:54Z,0,0,467,,0,0.6808,Positive,0
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,gw baru cek lagi ternyata lu dapetin yang ok daripada sebelum nya,@Rvdan.,UCNBTgQ2fhYHZ2IRplf8oG-w,2025-02-14T16:36:57Z,0,0,65,,0,0.296,Positive,0
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,"Gacor gila, 𝘋О𝙍А𝟩𝟳 bikin jepe trs",@PsainiSfloyd-m8m,UC784UL9MBja_nTf21xZBFqA,2025-02-07T08:59:13Z,0,0,33,"gacor, 77, jepe",3,0,Neutral,1
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,"𝐷𝐄𝘞𝐴𝐷𝙊𝐑𝘼 gacir pol, jepe terus bikin ga bisa berhenti",@Rachendyjr-g4y,UC0L3Lg23efz3AOKQr-dt2gA,2025-02-07T08:59:00Z,0,0,53,"jepe, dewa",2,0,Neutral,1
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,"𝐃𝘌WA𝐃𝑂𝑅𝐴 bikin nagih, gachor parah tiap hari jepe",@RabangKishore-m1w,UCQxrfoKsMq701qR1ptgoWig,2025-02-07T08:58:57Z,0,0,49,"jepe, dewa",2,0,Neutral,1
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,"Ga ngerti lagi, gacir terus di 𝘋𝑂RА7𝟽 sampe ga bisa stop",@RabbottJbuxton-v2c,UC_a6o9qEfUkLLNh4FCJiIxw,2025-02-07T08:58:57Z,0,0,56,77,1,-0.296,Negative,1
sa4FbbS8FzA,#TODVLOG  SUAMI SUPER MALAS vs ISTRI SUPER AKTIF,Entertainment,"Main di 𝐷Е𝑊А𝐷ОЯA, jepe terus",@rachmaliaAmorin-n1b,UCdnJURI3gfT4QZWHko1ONsw,2025-02-07T08:58:57Z,0,0,28,"jepe, dewa",2,0,Neutral,1
